country,university,course,degree_level,website,ielts_min,sat_required,sat_min,country_flag,university_logo
Australia,RMIT University,"Design, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.rmit.edu.au,6.5,1,1100,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=rmit.edu.au
Australia,Deakin University,"Health Sciences, IT, Business","Bachelor’s, Master’s, PhD",https://www.deakin.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=deakin.edu.au
Australia,Queensland University of Technology (QUT),"Engineering, Business, IT","Bachelor’s, Master’s, PhD",https://www.qut.edu.au,6.5,1,1050,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=qut.edu.au
Australia,University of Wollongong,"Engineering, IT, Arts","Bachelor’s, Master’s, PhD",https://www.uow.edu.au,6,1,1050,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=uow.edu.au
Australia,Curtin University,"Engineering, Health Sciences, Business","Bachelor’s, Master’s, PhD",https://www.curtin.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=curtin.edu.au
Australia,Griffith University,"Arts, Health Sciences, Engineering","Bachelor’s, Master’s, PhD",https://www.griffith.edu.au,6.5,1,1050,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=griffith.edu.au
Australia,La Trobe University,"Education, Business, IT","Bachelor’s, Master’s, PhD",https://www.latrobe.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=latrobe.edu.au
Australia,Swinburne University of Technology,"IT, Engineering, Design","Bachelor’s, Master’s, PhD",https://www.swinburne.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=swinburne.edu.au
Australia,University of Newcastle,"Law, Business, Engineering","Bachelor’s, Master’s, PhD",https://www.newcastle.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=newcastle.edu.au
Australia,University of South Australia,"Business, IT, Health Sciences","Bachelor’s, Master’s, PhD",https://www.unisa.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=unisa.edu.au
Australia,Western Sydney University,"Social Sciences, Business, IT","Bachelor’s, Master’s, PhD",https://www.westernsydney.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=westernsydney.edu.au
Australia,Australian Catholic University,"Education, Health, Arts","Bachelor’s, Master’s, PhD",https://www.acu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=acu.edu.au
Australia,Charles Sturt University,"Agriculture, Education, IT","Bachelor’s, Master’s, PhD",https://www.csu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=csu.edu.au
Australia,Charles Darwin University,"Environmental Science, IT","Bachelor’s, Master’s, PhD",https://www.cdu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=cdu.edu.au
Australia,Bond University,"Business, Law, IT","Bachelor’s, Master’s, PhD",https://www.bond.edu.au,6.5,1,1050,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=bond.edu.au
Australia,Southern Cross University,"Business, IT, Tourism, Education","Bachelor’s, Master’s, PhD",https://www.scu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=scu.edu.au
Australia,Victoria University,"Business, IT, Sport Science","Bachelor’s, Master’s, PhD",https://www.vu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=vu.edu.au
Australia,University of Tasmania,"Marine Science, Law, Arts","Bachelor’s, Master’s, PhD",https://www.utas.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=utas.edu.au
Australia,University of Canberra,"Health, Dev Studies, Business","Bachelor’s, Master’s, PhD",https://www.canberra.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=canberra.edu.au
Australia,University of the Sunshine Coast,"Business, IT, Health","Bachelor’s, Master’s, PhD",https://www.usc.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=usc.edu.au
Australia,University of Southern Queensland,"Education, Business, IT","Bachelor’s, Master’s, PhD",https://www.unisq.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=unisq.edu.au
Australia,Edith Cowan University,"Arts, Education, IT, Health","Bachelor’s, Master’s, PhD",https://www.ecu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=ecu.edu.au
Australia,Central Queensland University,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",https://www.cqu.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=cqu.edu.au
Australia,Federation University Australia,"Business, IT, Education","Bachelor’s, Master’s, PhD",https://federation.edu.au,6,1,1000,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=federation.edu.au
Australia,Australian National University (ANU College),"Foundation Studies, Pathways","Diploma, Pre‑Bachelor",https://www.anu.edu.au/college,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=anu.edu.au
Australia,Torrens University Australia,"Business, Design, IT, Health","Bachelor’s, Master’s",https://www.torrens.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=torrens.edu.au
Australia,Kaplan Business School,"Business, Accounting","Bachelor’s, Master’s",https://www.kbs.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=kbs.edu.au
Australia,International College of Management Sydney,"Business, Hospitality",Bachelor’s,https://www.icms.edu.au,6.5,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=icms.edu.au
Australia,Australian Institute of Business,"Business, Marketing","Bachelor’s, Master’s",https://aib.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=aib.edu.au
Australia,SAE Creative Media Institute,"Animation, Audio, Film","Diploma, Bachelor’s",https://www.sae.edu,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=sae.edu
Australia,William Blue College of Hospitality Management,"Hospitality, Culinary Arts",Bachelor’s,https://www.williamblue.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=williamblue.edu.au
Australia,Melbourne Polytechnic,"Trades, Business, IT","Diploma, Cert",https://www.melbournepolytechnic.edu.au,5.5,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=melbournepolytechnic.edu.au
Australia,International College of Queensland (ICQ),"Business, Tourism",Diploma,https://www.icq.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=icq.edu.au
Australia,SAE Creative Media Institute,"Media, Animation, Audio","Bachelor’s, Diploma",https://www.sae.edu,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=sae.edu
Australia,Torrens University Australia (Blue Mountains),"Business, IT, Hospitality","Bachelor’s, Master’s",https://www.torrens.edu.au/campuses/blue-mountains,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=torrens.edu.au
Australia,Kaplan International College,Foundation Studies,Diploma,https://www.kaplaninternational.com,5.5,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=kaplaninternational.com
Australia,ICMS Sydney – Events Management,"Events, Hospitality",Bachelor’s,https://www.icms.edu.au,6.5,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=icms.edu.au
Australia,"International College of Management, Sydney","Management, Tourism",Bachelor’s,https://www.icms.edu.au,6.5,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=icms.edu.au
Australia,Holmes Institute,"Business, IT, Accounting","Bachelor’s, Master’s",https://www.holmes.edu.au,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=holmes.edu.au
Australia,Le Cordon Bleu Australia,"Culinary Arts, Hospitality","Diploma, Bachelor’s",https://www.cordonbleu.edu,6,0,0,https://flagcdn.com/w80/au.png,https://www.google.com/s2/favicons?sz=128&domain=cordonbleu.edu
USA,University of Michigan‑Ann Arbor,"Engineering, Business, Medicine, Law, IT","Bachelor’s, Master’s, PhD",https://umich.edu,7,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=umich.edu
USA,"University of California, Los Angeles (UCLA)","Film, Engineering, Business, Science","Bachelor’s, Master’s, PhD",https://www.ucla.edu,7,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ucla.edu
USA,New York University (NYU),"Arts, Business, Law, IT","Bachelor’s, Master’s, PhD",https://www.nyu.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=nyu.edu
USA,Northwestern University,"Med, Eng, Business, Law","Bachelor’s, Master’s, PhD",https://www.northwestern.edu,7,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=northwestern.edu
USA,Carnegie Mellon University,"Computer Science, Eng, Business","Bachelor’s, Master’s, PhD",https://www.cmu.edu,7.5,1,1400,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=cmu.edu
USA,Duke University,"Law, Business, Medicine","Bachelor’s, Master’s, PhD",https://www.duke.edu,7,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=duke.edu
USA,University of Texas at Austin,"Engineering, Business, Architecture","Bachelor’s, Master’s, PhD",https://www.utexas.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=utexas.edu
USA,"University of California, San Diego (UCSD)","Bio, Eng, IT, Marine Science","Bachelor’s, Master’s, PhD",https://www.ucsd.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ucsd.edu
USA,University of Washington (UW),"Computer Science, Medicine, Business","Bachelor’s, Master’s, PhD",https://www.washington.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=washington.edu
USA,University of Illinois at Urbana‑Champaign,"Engineering, CS, Business","Bachelor’s, Master’s, PhD",https://illinois.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=illinois.edu
USA,"University of California, Santa Barbara (UCSB)","Physics, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.ucsb.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ucsb.edu
USA,Emory University,"Medicine, Business, Arts","Bachelor’s, Master’s, PhD",https://www.emory.edu,7,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=emory.edu
USA,University of Virginia (UVA),"Law, Engineering, Arts","Bachelor’s, Master’s, PhD",https://www.virginia.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=virginia.edu
USA,University of Wisconsin‑Madison,"Research Sciences, Business","Bachelor’s, Master’s, PhD",https://www.wisc.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=wisc.edu
USA,Rutgers University‑New Brunswick,"Engineering, Business, Arts","Bachelor’s, Master’s, PhD",https://www.rutgers.edu,6,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=rutgers.edu
USA,Ohio State University,"Business, Engineering, Medicine","Bachelor’s, Master’s, PhD",https://www.osu.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=osu.edu
USA,"University of Maryland, College Park","Engineering, Business, IT","Bachelor’s, Master’s, PhD",https://www.umd.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=umd.edu
USA,University of Georgia,"Business, Environmental Science","Bachelor’s, Master’s, PhD",https://www.uga.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=uga.edu
USA,Wake Forest University,"Business, Law, Arts","Bachelor’s, Master’s, PhD",https://www.wfu.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=wfu.edu
USA,University of Rochester,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",https://www.rochester.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=rochester.edu
USA,Boston College,"Business, Arts, Law","Bachelor’s, Master’s, PhD",https://www.bc.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=bc.edu
USA,Brandeis University,"Business, Arts, Science","Bachelor’s, Master’s, PhD",https://www.brandeis.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=brandeis.edu
USA,Case Western Reserve University,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",https://case.edu,6.5,1,1300,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=case.edu
USA,Clemson University,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",https://www.clemson.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=clemson.edu
USA,Colorado School of Mines,"Engineering, Earth Science","Bachelor’s, Master’s, PhD",https://www.mines.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=mines.edu
USA,George Washington University,"Law, Business, International Affairs","Bachelor’s, Master’s, PhD",https://www.gwu.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=gwu.edu
USA,Georgetown University,"Law, Business, International Relations","Bachelor’s, Master’s, PhD",https://www.georgetown.edu,7,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=georgetown.edu
USA,George Mason University,"Business, IT, Law","Bachelor’s, Master’s, PhD",https://www.gmu.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=gmu.edu
USA,Indiana University Bloomington,"Business, Law, Arts","Bachelor’s, Master’s, PhD",https://www.indiana.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=indiana.edu
USA,Lehigh University,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",https://www.lehigh.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=lehigh.edu
USA,Miami University,"Business, Arts, Education","Bachelor’s, Master’s",https://www.miamioh.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=miamioh.edu
USA,Northeastern University,"Business, Computer Science, Engineering","Bachelor’s, Master’s, PhD",https://www.northeastern.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=northeastern.edu
USA,Ohio University,"Business, Engineering, Arts","Bachelor’s, Master’s, PhD",https://www.ohio.edu,6,1,1100,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ohio.edu
USA,Pepperdine University,"Business, Law, Psychology","Bachelor’s, Master’s",https://www.pepperdine.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=pepperdine.edu
USA,Purdue University,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",https://www.purdue.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=purdue.edu
USA,Rice University,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",https://www.rice.edu,7,1,1400,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=rice.edu
USA,Rochester Institute of Technology (RIT),"Engineering, IT, Design","Bachelor’s, Master’s, PhD",https://www.rit.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=rit.edu
USA,Syracuse University,"Communications, Business, Architecture","Bachelor’s, Master’s, PhD",https://www.syracuse.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=syracuse.edu
USA,Texas A&M University,"Engineering, Business, Agriculture","Bachelor’s, Master’s, PhD",https://www.tamu.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=tamu.edu
USA,Tufts University,"International Relations, Medicine, Business","Bachelor’s, Master’s, PhD",https://www.tufts.edu,6.5,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=tufts.edu
USA,University of Arizona,"Business, Engineering, Science","Bachelor’s, Master’s, PhD",https://www.arizona.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=arizona.edu
USA,University of Miami,"Business, Law, Medicine","Bachelor’s, Master’s, PhD",https://www.miami.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=miami.edu
USA,University of Minnesota,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",https://www.umn.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=umn.edu
USA,University of Pittsburgh,"Medicine, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.pitt.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=pitt.edu
USA,University of Southern California (USC),"Film, Business, Engineering","Bachelor’s, Master’s, PhD",https://www.usc.edu,7,1,1350,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=usc.edu
USA,University of Florida,"Business, Engineering, Medicine","Bachelor’s, Master’s, PhD",https://www.ufl.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ufl.edu
USA,"University of California, Irvine (UCI)","Engineering, Business, Computer Science","Bachelor’s, Master’s, PhD",https://uci.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=uci.edu
USA,"University of California, Davis (UC Davis)","Agriculture, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.ucdavis.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=ucdavis.edu
USA,University of Colorado Boulder,"Engineering, Business, Environmental Science","Bachelor’s, Master’s, PhD",https://www.colorado.edu,6.5,1,1250,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=colorado.edu
USA,University of Connecticut,"Business, Engineering, Health Sciences","Bachelor’s, Master’s, PhD",https://uconn.edu,6.5,1,1200,https://flagcdn.com/w80/us.png,https://www.google.com/s2/favicons?sz=128&domain=uconn.edu
Canada,University of Toronto,"Engineering, Computer Science, Business, Medicine, Law","Bachelor’s, Master’s, PhD",https://www.utoronto.ca,6.5,1,1250,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=utoronto.ca
Canada,McGill University,"Medicine, Engineering, Law, Arts, Science","Bachelor’s, Master’s, PhD",https://www.mcgill.ca,6.5,1,1250,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=mcgill.ca
Canada,University of British Columbia (UBC),"Forestry, Engineering, Business, Science","Bachelor’s, Master’s, PhD",https://www.ubc.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=ubc.ca
Canada,McMaster University,"Health Sciences, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.mcmaster.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=mcmaster.ca
Canada,University of Alberta,"Engineering, Agriculture, Business","Bachelor’s, Master’s, PhD",https://www.ualberta.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=ualberta.ca
Canada,Université de Montréal,"Medicine, Science, Arts, Business","Bachelor’s, Master’s, PhD",https://www.umontreal.ca,6.5,0,0,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=umontreal.ca
Canada,University of Waterloo,"Computer Science, Engineering, Math","Bachelor’s, Master’s, PhD",https://uwaterloo.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uwaterloo.ca
Canada,University of Ottawa,"Law, Social Sciences, Health","Bachelor’s, Master’s, PhD",https://www.uottawa.ca,6.5,1,1150,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uottawa.ca
Canada,University of Calgary,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",https://www.ucalgary.ca,6.5,1,1150,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=ucalgary.ca
Canada,Western University,"Business, Law, Medicine","Bachelor’s, Master’s, PhD",https://www.uwo.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uwo.ca
Canada,Queen’s University,"Engineering, Business, Law","Bachelor’s, Master’s, PhD",https://www.queensu.ca,6.5,1,1200,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=queensu.ca
Canada,Dalhousie University,"Marine Science, Law, Health","Bachelor’s, Master’s, PhD",https://www.dal.ca,6.5,1,1150,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=dal.ca
Canada,Simon Fraser University,"Business, Environment, Science","Bachelor’s, Master’s, PhD",https://www.sfu.ca,6.5,1,1100,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=sfu.ca
Canada,York University,"Business, Arts, Law","Bachelor’s, Master’s, PhD",https://www.yorku.ca,6.5,1,1100,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=yorku.ca
Canada,University of Victoria,"Environmental Science, Law, Business","Bachelor’s, Master’s, PhD",https://www.uvic.ca,6.5,1,1100,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uvic.ca
Canada,University of Manitoba,"Agriculture, Health Sciences","Bachelor’s, Master’s, PhD",https://umanitoba.ca,6.5,1,1050,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=umanitoba.ca
Canada,University of Windsor,"Automotive, Business, Law","Bachelor’s, Master’s, PhD",https://www.uwindsor.ca,6.5,1,1050,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uwindsor.ca
Canada,Memorial University of Newfoundland,"Oceanography, Business, Arts","Bachelor’s, Master’s, PhD",https://www.mun.ca,6.5,1,1050,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=mun.ca
Canada,Concordia University,"Arts, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.concordia.ca,6.5,1,1050,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=concordia.ca
Canada,Ontario Tech University,"Engineering, IT, Business","Bachelor’s, Master’s, PhD",https://ontariotechu.ca,6.5,1,1050,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=ontariotechu.ca
Canada,University of Regina,"Arts, Engineering, Business","Bachelor’s, Master’s, PhD",https://www.uregina.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=uregina.ca
Canada,Lakehead University,"Environmental Science, Health","Bachelor’s, Master’s, PhD",https://www.lakeheadu.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=lakeheadu.ca
Canada,Brock University,"Business, Education, IT","Bachelor’s, Master’s, PhD",https://www.brocku.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=brocku.ca
Canada,St. Francis Xavier University,"Business, Arts, Education","Bachelor’s, Master’s",https://www.stfx.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=stfx.ca
Canada,University of Northern British Columbia,"Environmental Sciences, Business","Bachelor’s, Master’s",https://www.unbc.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=unbc.ca
Canada,Mount Allison University,"Arts, Science, Business","Bachelor’s, Master’s",https://www.mta.ca,6.5,1,1000,https://flagcdn.com/w80/ca.png,https://www.google.com/s2/favicons?sz=128&domain=mta.ca
